crash_date,crash_level,crash_record,crash_address,crash_impaired,num_vehicles,acc_persons,pedestrians,latitude,longitude
5/15/2023 15:35,Property,20230284779,White Bridge Pke & Kendall Dr,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1389,-86.8575
5/15/2023 15:50,Injury,20230284664,Mm 89 8 I 65,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2371,-86.7596
5/15/2023 16:45,Injury,20230284775,Crossings Pl & Crossings Blvd,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.0444,-86.6471
5/15/2023 16:45,Property,20230284773,Lombardy Av & Versailles Townhomes Pvtdr,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1184,-86.8023
5/15/2023 16:48,Property,20230284771,Mm 92 9 I 65,No Impaired Drivers,4 Vehicles,4 Persons,No Pedestrians,36.2738,-86.7357
5/15/2023 16:57,Injury,20230284795,Mm 209 4 I 40,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1515,-86.7865
5/15/2023 17:07,Property,20230284821,Wilhagan Rd & Murfreesboro Pke,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.1325,-86.7193
5/15/2023 17:20,Property,20230284849,Haywood Ln & Hopedale Dr,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.0688,-86.7162
5/15/2023 17:21,Injury,20230284836,Murfreesboro Pke & Thompson Pl,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1271,-86.7116
5/15/2023 17:30,Property,20230285064,Hickory Hollow Pkwy & Bell Rd,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.0476,-86.6559
5/15/2023 17:40,Injury,20230284880,Mcgavock Pke & Lebanon Pke,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.1696,-86.6799
5/15/2023 17:55,Injury,20230284906,Mcnally Dr & Atlas Dr,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.0926,-86.7387
5/15/2023 18:05,Property,20230285072,Bell Rd & Blue Hole Rd,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.0458,-86.6747
5/15/2023 18:09,Property,20230285151,Bell Rd & Blue Hole Rd,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.0463,-86.6769
5/15/2023 19:22,Injury,20230285085,Mccall St & Nolensville Pke,No Impaired Drivers,3 Vehicles,6 Persons,No Pedestrians,36.0996,-86.7394
5/15/2023 19:30,Property,20230285191,Mt. View & Cottage View,No Impaired Drivers,2 Vehicles,5 Persons,No Pedestrians,,
5/15/2023 20:08,Property,20230285425,Odette St & Florence Av,No Impaired Drivers,2 Vehicles,1 Person,No Pedestrians,36.2805,-86.7067
5/15/2023 20:10,Injury,20230285217,782 Franklin Pike Cir,No Impaired Drivers,1 Vehicle,1 Person,1 Pedestrian,36.0414,-86.78
5/15/2023 20:14,Injury,20230285237,Dickerson Pke & Sunset Dr,No Impaired Drivers,1 Vehicle,3 Persons,1 Pedestrian,36.2229,-86.7613
5/15/2023 20:19,Injury,20230285244,Edmondson Pke & Derby Trc,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.0433,-86.7441
5/15/2023 20:20,Injury,20230285251,Mm 212 6 I 40,No Impaired Drivers,1 Vehicle,3 Persons,No Pedestrians,36.1425,-86.7354
5/15/2023 20:52,Injury,20230285337,Mm 269 7 I 40,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.1411,-86.665
5/15/2023 21:05,Property,20230285361,Briley Pkwyn & Briley Pkwy N Ext Ramp,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.2128,-86.6915
5/15/2023 21:27,Injury,20230285407,Heady Dr & Highway 100,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.0989,-86.8719
